taxon min_age max_age
t35_1 2.10125420245805 2.10125420245805
t26_1 1.12673968930829 1.12673968930829
t26_2 0.373508219619987 0.373508219619987
t19_1 0.489986908505191 0.489986908505191
t18_1 0.317187430444684 0.317187430444684
t8_1 0.0323055426042834 0.0323055426042834
t28_1 0.340099732348909 0.340099732348909
t28_2 0.209754684231248 0.209754684231248
t37_1 0.155105728523164 0.155105728523164
t15_1 0.0211984208338008 0.0211984208338008
t38_1 4.40579365931923 4.40579365931923
t40_1 3.60494317262016 3.60494317262016
t41_1 3.24837078421325 3.24837078421325
t41_2 3.07737805607426 3.07737805607426
t41_3 2.11973790129982 2.11973790129982
t41_4 1.74294618983317 1.74294618983317
t48_1 1.72159345225427 1.72159345225427
t48_2 1.10754499449758 1.10754499449758
t50_1 1.07762149938935 1.07762149938935
t51_1 1.40273835773051 1.40273835773051
t51_2 1.27316242121851 1.27316242121851
t53_1 1.37621790427966 1.37621790427966
t54_1 0.671757048032001 0.671757048032001
t54_2 0.228959930717871 0.228959930717871
t55_1 1.21512081132315 1.21512081132315
t56_1 1.04278005851631 1.04278005851631
t57_1 1.00476256160439 1.00476256160439
t59_1 0.617228852991538 0.617228852991538
t63_1 0.544451813541426 0.544451813541426
t71_1 0.129651436562088 0.129651436562088
t26_3 0 0
t33_1 0 0
t19_2 0 0
t24_1 0 0
t1_1 0 0
t8_2 0 0
t29_1 0 0
t36_1 0 0
t28_3 0 0
t31_1 0 0
t10_1 0 0
t14_1 0 0
t30_1 0 0
t37_2 0 0
t3_1 0 0
t11_1 0 0
t6_1 0 0
t15_2 0 0
t22_1 0 0
t2_1 0 0
t12_1 0 0
t27_1 0 0
t20_1 0 0
t17_1 0 0
t23_1 0 0
t32_1 0 0
